DomesticOpening | Budget | Domestic | International | Worldwide
1125007 | None | 3439660 | 2834367 | 6274027
56818067 | 75000000 | 171015687 | 156266092 | 327281779
None | None | None | 636366 | 636366
2375325 | None | 4046429 | 5283646 | 9330075
None | None | None | 2183025 | 2183025
30436123 | None | 92029184 | 79518618 | 171547802
None | None | None | None | None
589014 | None | 1333124 | 2044306 | 3377430
89111 | None | 180851 | 21039 | 201890
None | None | None | 269915 | 269915
None | None | None | 1667849 | 1667849
18623 | None | 36336 | 5530767 | 5567103
14415922 | 20000000 | 43037835 | 43043876 | 86081711
9910310 | 175000000 | 38362475 | 113421364 | 151783839
61054 | None | 100144 | 5364741 | 5464885
None | None | None | None | None
8726 | None | 102541 | 2067258 | 2169799
30480153 | 80000000 | 79366978 | 153726881 | 233093859
12469631 | 20000000 | 26418667 | 40057696 | 66476363
13616196 | 40000000 | 52330111 | 62500000 | 114830111
391672 | None | 5501616 | 2158302 | 7659918
29769098 | 100000000 | 75976178 | 154908550 | 230884728
85327 | None | 1328679 | 810063 | 2138742
91774413 | 150000000 | 281576461 | 460271476 | 741847937
48475154 | 150000000 | 139313948 | 288030377 | 427344325
16064723 | 80000000 | 124728738 | 140600000 | 265328738
9386342 | 32000000 | 40222729 | 3879660 | 44102389
9733954 | None | 25288103 | 40466125 | 65754228
11039214 | 50000000 | 44737059 | 5317452 | 50054511
11827 | None | 12008642 | 32558964 | 44567606
9062295 | 30000000 | 28946615 | 18321214 | 47267829
