titles  ,  years  ,  certifcation  ,  votes  ,  dataValues ,  IMDBRatings  ,  metaScores  ,  All0to17  ,  All18to29  ,  All30to44  ,  All45to  ,  MaleAll  ,  Male0to17  ,  Male18to29  ,  Male30to44  ,  Male45to  ,  FemaleAll  ,  Female0to17  ,  Female18to29  ,  Female30to44  ,  Female45to , DomesticOpening  ,  Budget  ,  Domestic  ,  International  ,  Worldwide, genre1, genre2, genre3
Fast & Furious Presents: Hobbs & Shaw  ,  2019  ,  PG-13  ,  175909  ,  /title/tt6806448/ ,  6.4  ,  60  ,  6.6  ,  6.4  ,  6.3  ,  6.5  ,  6.4  ,  6.6  ,  6.4  ,  6.3  ,  6.5  ,  6.8  ,  5.7  ,  6.7  ,  6.7  ,  7.1  , 60038950  ,  200000000  ,  173956935  ,  585100000  ,  759056935,  Action, Adventure, Thriller 
Jumanji: The Next Level  ,  2019  ,  PG-13  ,  198550  ,  /title/tt7975244/ ,  6.6  ,  58  ,  7.1  ,  6.7  ,  6.5  ,  6.7  ,  6.6  ,  6.9  ,  6.6  ,  6.5  ,  6.6  ,  7.0  ,  7.5  ,  7.0  ,  6.9  ,  7.1  , 59251543  ,  125000000  ,  320314960  ,  479744747  ,  800059707,  Action, Adventure, Comedy 
Fighting with My Family  ,  2019  ,  PG-13  ,  69136  ,  /title/tt6513120/ ,  7.1  ,  68  ,  6.8  ,  7.1  ,  7.0  ,  7.1  ,  7.0  ,  6.8  ,  7.1  ,  7.0  ,  7.0  ,  7.1  ,  6.7  ,  7.1  ,  7.1  ,  7.2  , 138780  ,  11000000  ,  22958886  ,  17853033  ,  40811919,  Biography, Comedy, Drama 
Rampage  ,  2018  ,  PG-13  ,  148506  ,  /title/tt2231461/ ,  6.1  ,  45  ,  6.1  ,  6.1  ,  6.0  ,  6.2  ,  6.0  ,  6.0  ,  6.0  ,  6.0  ,  6.1  ,  6.4  ,  5.4  ,  6.4  ,  6.3  ,  6.7  , 35753093  ,  120000000  ,  101028233  ,  327000000  ,  428028233,  Action, Adventure, Sci-Fi 
Skyscraper  ,  2018  ,  PG-13  ,  109936  ,  /title/tt5758778/ ,  5.8  ,  51  ,  5.6  ,  5.8  ,  5.7  ,  5.9  ,  5.8  ,  5.7  ,  5.8  ,  5.7  ,  5.8  ,  6.1  ,  4.3  ,  6.1  ,  6.0  ,  6.3  , 24905015  ,  125000000  ,  68420120  ,  236448841  ,  304868961,  Action, Adventure, Thriller 
Jumanji: Welcome to the Jungle  ,  2017  ,  PG-13  ,  329622  ,  /title/tt2283362/ ,  6.9  ,  58  ,  7.2  ,  7.0  ,  6.8  ,  7.0  ,  6.8  ,  7.0  ,  6.9  ,  6.8  ,  6.9  ,  7.3  ,  7.6  ,  7.3  ,  7.2  ,  7.5  , 36169328  ,  90000000  ,  404540171  ,  558002774  ,  962542945,  Action, Adventure, Comedy 
Baywatch  ,  2017  ,  R  ,  166197  ,  /title/tt1469304/ ,  5.5  ,  37  ,  5.6  ,  5.7  ,  5.4  ,  5.4  ,  5.5  ,  5.6  ,  5.6  ,  5.4  ,  5.4  ,  5.7  ,  5.4  ,  5.9  ,  5.6  ,  5.7  , 18503871  ,  69000000  ,  58060186  ,  119796565  ,  177856751,  Action, Comedy, Crime 
The Fate of the Furious  ,  2017  ,  PG-13  ,  209658  ,  /title/tt4630562/ ,  6.6  ,  56  ,  6.7  ,  6.7  ,  6.5  ,  6.5  ,  6.6  ,  6.7  ,  6.7  ,  6.5  ,  6.5  ,  7.1  ,  7.1  ,  7.3  ,  7.0  ,  7.1  , 98786705  ,  250000000  ,  226008385  ,  1009996733  ,  1236005118,  Action, Adventure, Crime 
Moana  ,  2016  ,  PG  ,  282239  ,  /title/tt3521164/ ,  7.6  ,  81  ,  7.5  ,  7.6  ,  7.5  ,  7.5  ,  7.5  ,  7.3  ,  7.5  ,  7.5  ,  7.4  ,  7.9  ,  7.8  ,  7.9  ,  7.9  ,  7.9  , 56631401  ,  None  ,  248757044  ,  396205495  ,  644962539,  Animation, Adventure, Comedy 
Central Intelligence  ,  2016  ,  PG-13  ,  163364  ,  /title/tt1489889/ ,  6.3  ,  52  ,  6.5  ,  6.4  ,  6.2  ,  6.3  ,  6.2  ,  6.4  ,  6.4  ,  6.2  ,  6.2  ,  6.5  ,  6.4  ,  6.5  ,  6.4  ,  6.7  , 35535250  ,  50000000  ,  127440871  ,  89531672  ,  216972543,  Action, Comedy, Crime 
