titles  ,  years  ,  genres  ,  certifcation  ,  votes  ,  dataValues ,  IMDBRatings  ,  metaScores  ,  All0to17  ,  All18to29  ,  All30to44  ,  All45to  ,  MaleAll  ,  Male0to17  ,  Male18to29  ,  Male30to44  ,  Male45to  ,  FemaleAll  ,  Female0to17  ,  Female18to29  ,  Female30to44  ,  Female45to , DomesticOpening  ,  Budget  ,  Domestic  ,  International  ,  Worldwide
The Croods: A New Age  ,  2020  ,  Animation; Adventure; Comedy  ,  PG  ,  24254  ,  /title/tt2850386/ ,  7.0  ,  56  ,  7.0  ,  7.0  ,  7.0  ,  6.9  ,  6.9  ,  7.2  ,  6.9  ,  6.9  ,  6.8  ,  7.4  ,  6.8  ,  7.4  ,  7.3  ,  7.4  , 9724200  ,  None  ,  57818310  ,  109174000  ,  166992310
6 Underground  ,  2019  ,  Action; Thriller  ,  R  ,  145151  ,  /title/tt8106534/ ,  6.1  ,  41  ,  5.7  ,  6.1  ,  6.0  ,  6.1  ,  6.0  ,  5.5  ,  6.1  ,  6.0  ,  6.1  ,  6.3  ,  5.6  ,  6.3  ,  6.2  ,  6.6  , None  ,  None  ,  None  ,  None  ,  None
Pok�mon Detective Pikachu  ,  2019  ,  Action; Adventure; Comedy  ,  PG  ,  142717  ,  /title/tt5884052/ ,  6.6  ,  53  ,  6.7  ,  6.7  ,  6.5  ,  6.2  ,  6.5  ,  6.5  ,  6.6  ,  6.4  ,  6.1  ,  6.9  ,  7.1  ,  7.0  ,  6.8  ,  6.6  , 54365242  ,  150000000  ,  144105346  ,  288900000  ,  433005346
Deadpool 2  ,  2018  ,  Action; Adventure; Comedy  ,  R  ,  495531  ,  /title/tt5463162/ ,  7.7  ,  66  ,  7.9  ,  7.8  ,  7.6  ,  7.6  ,  7.7  ,  7.7  ,  7.7  ,  7.6  ,  7.5  ,  7.8  ,  8.2  ,  7.8  ,  7.7  ,  7.7  , 125507153  ,  110000000  ,  324591735  ,  461878749  ,  786470484
The Hitman's Bodyguard  ,  2017  ,  Action; Comedy; Crime  ,  R  ,  192379  ,  /title/tt1959563/ ,  6.9  ,  47  ,  7.1  ,  7.0  ,  6.8  ,  6.9  ,  6.8  ,  7.1  ,  7.0  ,  6.8  ,  6.8  ,  7.1  ,  7.0  ,  7.2  ,  7.0  ,  7.2  , 21384504  ,  30000000  ,  75468583  ,  101131624  ,  176600207
Life  ,  I 2017  ,  Horror; Sci-Fi; Thriller  ,  R  ,  210796  ,  /title/tt5442430/ ,  6.6  ,  54  ,  6.9  ,  6.7  ,  6.5  ,  6.5  ,  6.6  ,  6.6  ,  6.7  ,  6.6  ,  6.5  ,  6.5  ,  7.1  ,  6.6  ,  6.4  ,  6.5  , 12501936  ,  58000000  ,  30234022  ,  70307784  ,  100541806
Deadpool  ,  2016  ,  Action; Adventure; Comedy  ,  R  ,  919906  ,  /title/tt1431045/ ,  8.0  ,  65  ,  8.0  ,  8.1  ,  7.9  ,  7.8  ,  8.0  ,  8.0  ,  8.1  ,  7.9  ,  7.8  ,  8.0  ,  7.9  ,  8.1  ,  7.9  ,  7.9  , 132434639  ,  58000000  ,  363070709  ,  419766082  ,  782836791
Criminal  ,  2016  ,  Action; Sci-Fi; Thriller  ,  R  ,  60864  ,  /title/tt3014866/ ,  6.3  ,  36  ,  6.2  ,  6.4  ,  6.2  ,  6.4  ,  6.3  ,  5.8  ,  6.4  ,  6.2  ,  6.4  ,  6.4  ,  6.5  ,  6.4  ,  6.3  ,  6.6  , 5767278  ,  None  ,  14708696  ,  24095297  ,  38803993
Huntwatch  ,  2016  ,  Documentary; Adventure; Biography  ,  Not Rated  ,  41  ,  /title/tt3847948/ ,  6.8  ,  None  ,  -  ,  7.0  ,  6.4  ,  5.5  ,  5.7  ,  -  ,  7.0  ,  6.6  ,  4.8  ,  7.7  ,  -  ,  7.0  ,  4.5  ,  9.0  , None  ,  None  ,  None  ,  None  ,  None
Self/less  ,  2015  ,  Action; Mystery; Sci-Fi  ,  PG-13  ,  92118  ,  /title/tt2140379/ ,  6.5  ,  34  ,  6.3  ,  6.7  ,  6.4  ,  6.5  ,  6.5  ,  5.9  ,  6.7  ,  6.4  ,  6.5  ,  6.7  ,  7.0  ,  6.8  ,  6.6  ,  6.7  , 5403460  ,  26000000  ,  12279691  ,  19527465  ,  31807156
